"RefDes","Name","Pattern","Origin X (in)","Origin Y (in)","Side","Rotate","Value"
"C1","CPOL-USC","CAPAE-5.3x5.3h3","1.1732","2.7642","Top","90.0","22u"
"C2","CPOL-USC","CAPAE-5.3x5.3h3","0.7607","2.6142","Top","270.0","22u"
"C3","CAP_0603","CAP_0805","0.4983","1.9628","Top","180.0","1n"
"C4","CAP_0603","CAP_0805","1.1233","2.0003","Top","180.0","18n"
"C5","CAP_0603","CAP_0805","1.2982","2.2378","Top","180.0","1n"
"C6","CAP_0805","CAP_0805","1.5607","0.9814","Top","0.0","0.1u"
"C7","CPOL-USC","CAPAE-4.3x4.3h5.4","1.7045","3.9316","Top","90.0","10u"
"C8","CAP_0805","CAP_0805","1.6046","2.5315","Top","180.0","0.1u"
"C9","CAP_0805","CAP_0805","1.5919","0.4628","Top","0.0","0.1u"
"C10","CAP_0805","CAP_0805","0.9857","2.2064","Top","90.0","0.1u"
"C11","CAP_0805","CAP_0805","0.8107","0.9878","Top","0.0","0.1u"
"C12","CAP_0805","CAP_0805","0.8544","1.3253","Top","0.0","0.1u"
"C13","CAP_0805","CAP_0805","0.8545","0.7689","Top","0.0","0.1u"
"C14","CAP_0805","CAP_0805","1.6545","2.9376","Top","0.0","0.47u"
"C15","CAP_0805","CAP_0805","0.7482","0.4502","Top","0.0","0.1u"
"C16","CAP_0805","CAP_0805","0.842","1.8064","Top","0.0","0.1u"
"C17","CAP_0805","CAP_0805","0.7482","1.4377","Top","0.0","0.1u"
"C18","CAP_0603","CAP_0805","0.6858","2.394","Top","0.0","3.3n"
"C22","CAP_0805","CAP_0805","0.7294","1.9003","Top","180.0","0.1u"
"C23","CAP_0805","CAP_0805","1.8607","1.6002","Top","90.0","1u"
"C24","CPOL-USC","CAPAE-4.3x4.3h5.4","1.0859","4.044","Top","0.0","10u"
"C28","CAP_0805","CAP_0805","1.2483","1.769","Top","90.0","1u"
"C29","CAP_0805","CAP_0805","1.4671","2.9128","Top","180.0","0.47u"
"C30","CAP_0805","CAP_0805","1.5357","3.8439","Top","90.0","0.1u"
"C31","CAP_0805","CAP_0805","0.817","3.8377","Top","90.0","0.1u"
"C32","CAP_0805","CAP_0805","1.592","4.5249","Top","270.0","0.1u"
"C33","CAP_0805","CAP_0805","0.5296","2.9065","Top","180.0","0.47u"
"CL1","Thonkiconn","Thonkiconn Jack","0.9795","1.657","Bottom","180.0",""
"CL2","Thonkiconn","Thonkiconn Jack","0.6045","1.657","Bottom","180.0",""
"CL3","Thonkiconn","Thonkiconn Jack","0.9795","1.1503","Bottom","180.0",""
"CL4","Thonkiconn","Thonkiconn Jack","0.6045","1.1503","Bottom","180.0",""
"CL5","Thonkiconn","Thonkiconn Jack","0.9795","0.644","Bottom","180.0",""
"CL6","Thonkiconn","Thonkiconn Jack","0.6045","0.644","Bottom","180.0",""
